fips,rate
12125,1215.0
48373,683.8
31117,677.0
46041,649.8
21023,621.8
28119,621.8
48229,618.8
21237,615.5
27087,608.7
21057,606.5
27155,606.0
51640,605.2
46049,604.7
17003,603.7
13053,601.3
21139,598.4
21137,598.0
22047,596.5
48011,595.2
21197,594.3
05075,592.8
48137,590.7
31087,589.8
21121,588.0
21071,588.0
46075,587.5
17025,587.0
18007,586.1
48433,585.8
22023,585.6
29181,585.5
46111,583.5
29227,583.1
54073,582.9
54043,582.4
19029,581.9
29035,581.9
54045,581.5
21075,581.1
46087,580.3
39087,580.2
13227,580.0
21001,579.8
21223,579.7
17153,579.7
17129,579.6
21235,578.7
21203,578.7
17061,577.3
38079,575.6
54015,574.0
21051,573.2
19147,573.1
21065,572.7
21081,572.7
21043,572.6
05111,571.2
47169,568.5
17037,568.1
46003,567.8
18045,567.2
21085,566.8
02164,566.8
01041,566.6
54041,566.3
31077,565.8
21217,565.3
17125,564.9
30107,564.8
21011,564.6
51580,564.5
21189,564.4
17149,563.9
46077,563.9
05069,563.7
48311,563.1
48023,562.9
17137,562.5
48063,562.2
31009,560.2
28031,560.1
47117,558.8
21173,558.6
51103,558.5
32009,558.3
17115,558.2
21127,558.1
42023,557.8
05041,557.6
27107,557.3
42093,557.0
39167,556.6
21031,556.3
19007,556.1
17021,555.7
05043,555.5
27129,554.9
31125,554.2
29123,554.2
28027,554.2
51530,554.1
05001,553.7
17121,553.3
17167,552.9
21179,552.9
19035,552.8
12053,552.0
36073,551.2
37153,551.0
51057,550.9
36063,550.9
21087,550.8
23029,550.8
37007,550.6
27027,549.9
21167,549.1
29127,549.1
47111,549.1
48045,548.9
46017,548.2
29093,548.1
19037,547.9
19045,547.3
21097,547.3
30077,547.1
21017,547.1
19089,546.9
46099,546.9
37173,546.9
22113,546.7
22125,546.6
17183,546.5
17173,546.4
19133,545.9
19097,545.6
21093,545.6
37111,545.6
21077,545.4
13173,545.3
54083,545.2
27159,545.0
05025,544.9
05129,544.9
13289,544.6
19171,544.4
36075,544.4
39131,543.5
13311,543.5
36097,543.4
17107,543.3
54001,543.2
30087,543.0
38027,542.5
27117,542.4
17009,542.3
23021,542.2
17079,542.2
29149,542.1
22013,542.0
51690,541.6
46073,541.5
21195,541.4
21185,541.3
27051,541.1
21149,541.0
21155,541.0
51670,541.0
28051,540.9
13103,540.9
36045,540.7
19121,540.6
21019,540.5
21191,540.1
29223,540.0
30065,539.8
27057,539.4
27167,539.1
17117,538.8
28053,538.7
28143,538.5
12035,538.5
21229,538.4
40111,538.3
21103,538.2
27127,538.2
54087,538.2
34009,538.2
22097,538.2
51183,537.9
13257,537.7
17057,537.7
28125,537.6
37133,537.6
36023,537.6
21215,537.6
21029,537.5
22001,537.4
21153,537.0
18181,536.9
29111,536.8
21049,536.6
08057,536.3
54085,536.1
37177,536.0
29069,535.9
21199,535.8
42107,535.5
05121,535.4
29187,535.2
51007,535.0
13171,534.9
21171,534.6
21053,534.6
21187,534.5
19135,534.3
19151,534.3
21169,534.2
05023,534.0
19053,533.8
19023,533.6
48081,533.5
01085,532.8
31035,532.7
21079,532.5
28055,532.4
54099,532.2
37077,532.2
27125,532.2
19067,531.7
27007,531.7
13305,531.7
13187,531.6
21147,531.6
17077,531.4
