fips,status
12125,published
17003,published
21189,published
21139,published
21131,published
21191,published
21203,published
21147,published
54043,published
21071,published
47169,published
21237,published
21235,published
21077,published
21023,published
21121,published
29123,published
05075,published
47173,published
21095,published
21001,published
29181,published
27155,published
21051,published
21085,published
21173,published
21075,published
21193,published
17153,published
47067,published
54059,published
21127,published
46041,published
21197,published
29069,published
05127,published
28143,published
29035,published
29133,published
21031,published
29223,published
45033,published
21201,published
05111,published
21153,published
54087,published
29203,published
47039,published
47013,published
21163,published
17125,published
21065,published
29187,published
21041,published
27087,published
21195,published
17061,published
21081,published
17021,published
21043,published
21097,published
21159,published
21079,published
05021,published
29171,published
51530,published
05135,published
21099,published
21025,published
47081,published
26051,published
55078,published
21169,published
05083,published
21149,published
54005,published
29139,published
21003,published
51640,published
21011,published
21013,published
27065,published
39087,published
21039,published
28013,published
38079,published
29221,published
39131,published
54047,published
21207,published
21115,published
21009,published
48373,published
29205,published
21137,published
29055,published
51183,published
21183,published
36075,published
21223,published
18079,published
54045,published
29207,published
47057,published
18165,published
29093,published
19147,published
29023,published
18143,published
26079,published
39163,published
21161,published
17107,published
17183,published
12107,published
39105,published
21027,published
39115,published
12041,published
21057,published
17069,published
13149,published
13055,published
48385,published
17149,published
47111,published
21119,published
45029,published
36073,published
02180,published
21125,published
39141,published
17137,published
17121,published
27167,published
12123,published
38005,published
28117,published
40115,published
47087,published
05109,published
47117,published
54109,published
48407,published
21177,published
47025,published
54041,published
01041,published
47143,published
26035,published
05043,published
47123,published
27069,published
54015,published
05105,published
17025,published
21109,published
29177,published
29127,published
23021,published
40029,published
18007,published
19071,published
39073,published
51007,published
39001,published
12029,published
21055,published
17115,published
29065,published
29143,published
21029,published
40077,published
05079,published
21061,published
05093,published
29175,published
40117,published
05013,published
17135,published
22039,published
29113,published
29195,published
48063,published
21019,published
05019,published
21117,published
37111,published
37133,published
37153,published
18045,published
47033,published
47085,published
28119,published
28093,published
54099,published
54021,published
21199,published
47151,published
47041,published
21135,published
39079,published
17131,published
54053,published
17017,published
55051,published
51053,published
21187,published
17175,published
05121,published
39127,published
05103,published
21133,published
13201,published
29149,published
29041,published
29083,published
17039,published
13229,published
05071,published
45069,published
23025,published
21037,published
40061,published
21179,published
19177,published
54065,published
01027,published
17117,published
13239,published
47159,published
54019,published
13025,published
54033,published
47007,published
39015,published
39071,published
17057,published
54091,published
18065,published
29121,published
40127,published
13213,published
29155,published
21005,published
29185,published
28137,published
13105,published
21035,published
37197,published
18053,published
47177,published
18149,published
13065,published
39027,published
40125,published
40069,published
51147,published
21047,published
21175,published
54035,published
05053,published
13299,published
54073,published
28115,published
26085,published
51103,published
40111,published
29141,published
21155,published
48343,published
19115,published
23019,published
37177,published
45023,published
21171,published
51670,published
21213,published
29017,published
13173,published
21165,published
21217,published
17083,published
37163,published
47073,published
29013,published
05025,published
39065,published
40097,published
18055,published
40089,published
51017,published
48083,published
12007,published
22035,published
36019,published
18109,published
21129,published
13049,published
05059,published
54085,published
47083,published
21103,published
29117,published
21059,published
26143,published
21167,published
40107,published
21141,published
21093,published
05001,published
31087,published
19145,published
37103,published
21087,published
05047,published
19179,published
40095,published
13305,published
17145,published
40059,published
51097,published
47029,published
37155,published
22047,published
21063,published
21049,published
39053,published
28111,published
13295,published
12013,published
51091,published
47045,published
13193,published
40091,published
21045,published
21231,published
21219,published
05107,published
13319,published
21033,published
12075,published
21123,published
26135,published
37165,published
47043,published
21157,published
13195,published
39145,published
48455,published
21205,published
05023,published
29201,published
28043,published
51127,published
37033,published
05055,published
28141,published
47005,published
18035,published
05089,published
29099,published
18117,published
37075,published
47181,published
47115,published
37199,published
13183,published
18119,published
17143,published
54017,published
29021,published
40121,published
40135,published
47017,published
48213,published
47133,published
28129,published
17095,published
05033,published
39059,published
18131,published
17181,published
21017,published
29169,published
18111,published
54049,published
51111,published
36083,published
17051,published
48379,published
29153,published
05147,published
29073,published
40021,published
13233,published
47089,published
36057,published
39101,published
54107,published
05067,published
47131,published
47167,published
28107,published
22117,published
05095,published
17047,published
28139,published
22013,published
17079,published
26007,published
39167,published
21091,published
47071,published
29219,published
47121,published
29111,published
05069,published
18009,published
54011,published
28163,published
21145,published
26069,published
54083,published
29103,published
21053,published
28035,published
19007,published
48147,published
13129,published
28083,published
37169,published
17077,published
29163,published
18125,published
26011,published
29071,published
29049,published
28095,published
47097,published
17179,published
51099,published
46085,published
18115,published
29015,published
47053,published
17199,published
42107,published
42131,published
18139,published
37151,published
13301,published
51149,published
18041,published
36035,published
40105,published
18175,published
13143,published
17091,published
40067,published
22083,published
51580,published
05029,published
28057,published
16079,published
28031,published
22063,published
37107,published
47003,published
05011,published
02185,published
12003,published
51033,published
54095,published
54093,published
17099,published
21069,published
28131,published
51820,published
22041,published
01061,published
17167,published
05137,published
05039,published
51005,published
31173,published
29053,published
28017,published
40101,published
02070,published
36045,published
48387,published
23029,published
28161,published
27107,published
28047,published
51101,published
29159,published
39129,published
17001,published
27115,published
27023,published
48291,published
39023,published
29007,published
36115,published
36097,published
12121,published
17157,published
37157,published
47101,published
17119,published
17169,published
54001,published
27159,published
36011,published
26117,published
13187,published
21083,published
51770,published
17071,published
13103,published
19137,published
18095,published
21151,published
47021,published
22021,published
21107,published
47147,published
12129,published
17055,published
05031,published
47161,published
05049,published
37171,published
39031,published
48007,published
29137,published
47137,published
29157,published
01059,published
28091,published
13109,published
13249,published
28135,published
48119,published
12093,published
18029,published
05117,published
39081,published
47055,published
24039,published
29075,published
47019,published
13015,published
55113,published
13011,published
47077,published
17081,published
40099,published
18167,published
48099,published
12067,published
13079,published
13039,published
17041,published
05085,published
18113,published
21221,published
17185,published
37079,published
54003,published
48217,published
39119,published
22109,published
37049,published
51195,published
38025,published
54081,published
05073,published
28127,published
37181,published
45087,published
40081,published
37167,published
36033,published
22081,published
13177,published
18083,published
28061,published
12017,published
22127,published
47015,published
28081,published
22123,published
22049,published
47031,published
21233,published
18145,published
47069,published
47063,published
05017,published
29089,published
47079,published
01015,published
21227,published
48315,published
48483,published
37191,published
37045,published
22115,published
05005,published
29079,published
48365,published
13115,published
39067,published
37057,published
13119,published
17029,published
29129,published
54103,published
55067,published
29115,published
21015,published
13013,published
05091,published
48129,published
39097,published
19151,published
54039,published
21113,published
48351,published
47001,published
05129,published
05141,published
37093,published
26119,published
39047,published
19105,published
26075,published
18023,published
29091,published
40037,published
05057,published
47107,published
48161,published
13273,published
18133,published
22037,published
47175,published
18021,published
37173,published
47023,published
51117,published
48023,published
19045,published
19053,published
18171,published
22059,published
18069,published
48277,published
39039,published
17123,published
48459,published
26001,published
39033,published
18169,published
48401,published
37121,published
36039,published
26133,published
21007,published
23011,published
13179,published
18017,published
46029,published
13227,published
45067,published
29125,published
22111,published
36015,published
22001,published
45021,published
05041,published
48067,published
47129,published
01127,published
17187,published
17151,published
54029,published
05003,published
29097,published
45047,published
47099,published
19065,published
17129,published
19159,published
01071,published
29029,published
01079,published
48313,published
01111,published
37085,published
17163,published
05113,published
51135,published
29101,published
39019,published
27061,published
13191,published
05037,published
39009,published
40085,published
19013,published
40063,published
19057,published
54069,published
36023,published
12019,published
19129,published
47163,published
37115,published
13175,published
45025,published
28145,published
54051,published
18067,published
37023,published
29027,published
13257,published
37077,published
48231,published
28097,published
18031,published
21089,published
47183,published
21111,published
47059,published
37071,published
40071,published
17127,published
21143,published
23017,published
36099,published
22007,published
22119,published
39089,published
13083,published
19073,published
17109,published
22023,published
05035,published
37091,published
46102,published
01115,published
19155,published
22121,published
39013,published
24510,published
37027,published
47009,published
39175,published
13321,published
28123,published
28059,published
39117,published
21073,published
05065,published
37007,published
18093,published
37059,published
51029,published
05123,published
23001,published
18033,published
51730,published
36037,published
47155,published
47135,published
54097,published
48037,published
13081,published
37101,published
36065,published
13005,published
18091,published
22113,published
28045,published
17105,published
36009,published
13019,published
29167,published
13107,published
40005,published
40133,published
40045,published
12053,published
05045,published
40051,published
44003,published
40043,published
18177,published
19143,published
37159,published
48073,published
18073,published
40079,published
13071,published
13289,published
13163,published
21215,published
13141,published
38071,published
28033,published
18097,published
29179,published
40049,published
39025,published
51173,published
47109,published
26059,published
13223,published
37001,published
54025,published
12113,published
18107,published
36117,published
40015,published
26123,published
47095,published
51119,published
48499,published
42059,published
42057,published
12023,published
01045,published
17067,published
19019,published
09015,published
22085,published
37051,published
18101,published
55041,published
22101,published
51137,published
51193,published
37017,published
33017,published
55059,published
18087,published
27029,published
01075,published
37187,published
42051,published
13045,published
39135,published
30041,published
21211,published
01085,published
18005,published
19003,published
01109,published
24011,published
22067,published
16063,published
54009,published
37131,published
28085,published
12033,published
12083,published
18135,published
27059,published
46099,published
19187,published
05099,published
28027,published
28051,published
42121,published
05145,published
40013,published
47153,published
54027,published
38099,published
51710,published
55053,published
21101,published
19015,published
12077,published
13275,published
02130,published
51071,published
48097,published
26071,published
47049,published
17195,published
36063,published
18013,published
17173,published
17193,published
51570,published
51159,published
13069,published
18153,published
05131,published
21181,published
54007,published
27007,published
17075,published
13293,published
28049,published
28007,published
18061,published
18025,published
26039,published
39007,published
13263,published
31125,published
01053,published
55057,published
24045,published
55105,published
16039,published
27081,published
17023,published
18077,published
48467,published
55081,published
17045,published
29063,published
05115,published
36067,published
48289,published
36089,published
17009,published
22097,published
13003,published
01035,published
05063,published
13027,published
29047,published
34033,published
29119,published
51037,published
21105,published
13157,published
37047,published
48197,published
47119,published
37161,published
37087,published
13159,published
47125,published
45055,published
47145,published
13311,published
54013,published
17073,published
01009,published
22003,published
01055,published
18121,published
36001,published
22099,published
54055,published
55031,published
42105,published
13029,published
28067,published
13197,published
47105,published
22125,published
36021,published
45001,published
37109,published
27043,published
23003,published
47185,published
47075,published
33019,published
01093,published
01007,published
37193,published
12127,published
28029,published
13171,published
13075,published
29131,published
37065,published
19029,published
18051,published
48159,published
05009,published
45059,published
48361,published
05051,published
02188,published
29051,published
22045,published
48275,published
37117,published
28109,published
47061,published
47027,published
42033,published
36093,published
13167,published
37105,published
05125,published
28065,published
19097,published
17101,published
12089,published
12101,published
13111,published
42097,published
54079,published
27025,published
29105,published
22031,published
51073,published
27117,published
01039,published
26099,published
29085,published
36095,published
28101,published
29009,published
17063,published
56045,published
13225,published
26021,published
