fips,rate_v2,rate_v3
01001,459.5,459.8
01003,442.5,443.9
01005,444.5,448.3
01007,444.8,429.4
01009,410.1,421.1
01011,434.2,425.1
01013,460.9,467.1
01015,493.2,497.7
01017,435.9,441.0
01019,421.5,425.2
01021,422.7,431.1
01023,384.3,375.1
01025,499.9,503.3
01027,466.4,482.8
01029,423.6,439.5
01031,419.5,420.3
01033,434.3,427.5
01035,464.9,487.3
01037,388.1,384.8
01039,394.7,398.3
01041,558.5,566.6
01043,406.7,413.5
01045,432.2,443.8
01047,426.1,408.5
01049,369.3,374.7
01051,474.6,474.6
01053,393.2,392.1
01055,453.8,465.9
01057,422.2,414.3
01059,421.9,411.8
01061,406.7,413.8
01063,466.4,427.3
01065,453.9,451.1
01067,446.0,450.1
01069,432.0,442.1
01071,424.4,430.7
01073,434.2,437.0
01075,452.1,436.6
01077,411.4,406.8
01079,474.9,471.6
01081,343.6,366.2
01083,423.3,414.6
01085,548.3,532.8
01087,430.1,442.1
01089,405.5,407.2
01091,446.8,445.2
01093,423.2,419.3
01095,423.8,429.7
01097,434.4,443.0
01099,427.7,427.9
01101,447.7,449.9
01103,467.3,450.4
01105,435.5,405.9
01107,502.9,466.7
01109,464.1,481.8
01111,431.4,437.9
01113,368.3,393.0
01115,441.7,438.7
01117,394.4,390.2
01119,454.3,413.4
01121,461.2,452.4
01123,483.1,476.6
01125,391.0,383.2
01127,488.8,485.3
01129,461.3,458.3
01131,491.1,473.7
01133,431.3,447.6
02013,219.1,362.8
02016,290.1,270.5
02020,451.5,451.8
02050,366.6,389.5
02060,364.7,356.7
02068,491.6,425.5
02070,442.9,457.9
02090,408.5,440.3
02100,344.3,383.0
02105,410.2,445.5
02110,396.9,403.3
02122,446.9,443.7
02130,474.1,480.7
02150,405.2,402.3
02158,403.7,390.2
02164,480.1,566.8
02170,433.9,433.1
02180,488.5,460.8
02185,321.7,284.4
02188,422.0,392.5
02195,327.2,358.7
02198,431.4,431.3
02220,355.2,365.6
02230,345.4,299.5
02240,511.8,525.7
02261,359.3,344.5
02275,429.2,405.4
02290,518.4,435.8
04001,301.3,318.2
04003,393.9,402.2
04005,329.4,329.6
04007,327.9,337.3
04009,328.9,332.1
04011,365.0,374.4
