column,type
reported_locale,string
fips,string
2023_rural_urban_continuum_codesrural_urban_note,string
age_adjusted_rate_per_100_000,double
lower_ci_rate,double
upper_ci_rate,double
ci_rank,double
lower_ci_rank,double
upper_ci_rank,double
average_annual_count,double
recent_trend,string
recent_5_year_trend_in_rate,double
lower_ci_trend_in_rate,double
upper_ci_trend_in_rate,double
year,string
sex,string
stage,string
race,string
cancer,string
areatype,string
age,string
state_fips,string
measurement,string
locale_type,string
_extracted_at,string
url,string
suppression_reason,string
percent_of_cases_with_late_stage,string
locale,string
state,string
