data_window,observed_in_captures,source
2001-2004,Jan-Feb 2009,Internet Archive CDX assessment 2026-08-23 (docs/wayback-assessment.md)
2002-2006,May 2010,Internet Archive CDX assessment 2026-08-23 (docs/wayback-assessment.md)
2003-2007,Jun 2010,Internet Archive CDX assessment 2026-08-23 (docs/wayback-assessment.md)
2004-2008,Oct 2011,Internet Archive CDX assessment 2026-08-23 (docs/wayback-assessment.md)
2005-2009,Dec 2012 - Mar 2013,Internet Archive CDX assessment 2026-08-23 (docs/wayback-assessment.md)
2008-2012,Sep 2015 - Jan 2016,Internet Archive CDX assessment 2026-08-23 (docs/wayback-assessment.md)
2010-2014,Jul 2017,Internet Archive CDX assessment 2026-08-23 (docs/wayback-assessment.md)
2011-2015,Jul 2019,Internet Archive CDX assessment 2026-08-23 (docs/wayback-assessment.md)
2013-2017,Aug 2020 - Jul 2021,Internet Archive CDX assessment 2026-08-23 (docs/wayback-assessment.md)
2014-2018,Sep 2021 - Oct 2022,Internet Archive CDX assessment 2026-08-23 (docs/wayback-assessment.md)
2015-2019,Nov 2022 - Dec 2022,Internet Archive CDX assessment 2026-08-23 (docs/wayback-assessment.md)
